station,HlyAirTmp (F),HlyDewPnt (F),HlyEto (in),HlyNetRad (Ly/day),HlyAsceEto (in),HlyAsceEtr (in),HlyPrecip (in),HlyRelHum (%),HlyResWind (MPH),HlySoilTmp (F),HlySolRad (Ly/day),HlyVapPres (mBars),HlyWindDir (°),HlyWindSpd (MPH)
99,1.0,0.7638888888888888,0.9027777777777778,1.0,0.8611111111111112,0.0,1.0,0.6944444444444444,0.4861111111111111,1.0,0.9861111111111112,0.7638888888888888,0.7916666666666666,0.5694444444444444
105,0.9444444444444444,1.0,0.8472222222222222,1.0,0.9305555555555556,0.0,1.0,1.0,0.4722222222222222,0.9583333333333334,1.0,1.0,0.4166666666666667,0.6111111111111112
117,1.0,0.8888888888888888,0.9305555555555556,1.0,0.9166666666666666,0.0,1.0,0.9027777777777778,0.625,1.0,0.9861111111111112,0.8888888888888888,0.8333333333333334,0.6666666666666666
124,0.7916666666666666,0.9583333333333334,0.7083333333333334,1.0,0.9166666666666666,0.0,1.0,0.9722222222222222,0.4583333333333333,1.0,1.0,0.9861111111111112,0.5138888888888888,0.5
125,0.8611111111111112,1.0,0.7222222222222222,1.0,0.7777777777777778,0.0,1.0,1.0,0.4444444444444444,1.0,1.0,1.0,0.8611111111111112,0.5
135,0.9583333333333334,0.9027777777777778,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,0.7916666666666666,1.0,1.0,0.8472222222222222,0.5694444444444444,0.8333333333333334
136,1.0,0.9861111111111112,0.8611111111111112,1.0,0.9027777777777778,0.0,1.0,0.9027777777777778,0.5555555555555556,1.0,1.0,0.9444444444444444,0.8472222222222222,0.6388888888888888
142,0.9861111111111112,0.9861111111111112,0.8472222222222222,1.0,0.875,0.0,1.0,1.0,0.4027777777777778,1.0,1.0,0.9861111111111112,0.8611111111111112,0.4583333333333333
146,0.9861111111111112,1.0,0.9444444444444444,1.0,0.8472222222222222,0.0,1.0,1.0,0.7083333333333334,1.0,1.0,1.0,0.7916666666666666,0.7083333333333334
147,1.0,0.7361111111111112,0.875,1.0,0.9305555555555556,0.0,1.0,0.6388888888888888,0.5694444444444444,0.9722222222222222,1.0,0.6388888888888888,0.9861111111111112,0.5138888888888888
150,0.9861111111111112,0.6666666666666666,0.9305555555555556,1.0,0.9444444444444444,0.0,1.0,0.625,0.5,0.9861111111111112,1.0,0.75,0.75,0.5694444444444444
151,1.0,0.8888888888888888,0.9583333333333334,1.0,0.0,0.9305555555555556,1.0,0.75,0.0,0.9722222222222222,1.0,0.8472222222222222,1.0,0.6666666666666666
152,0.9722222222222222,0.9444444444444444,0.5833333333333334,1.0,0.7222222222222222,0.0,0.9583333333333334,0.6111111111111112,0.5416666666666666,1.0,0.9861111111111112,0.8888888888888888,0.7916666666666666,0.6527777777777778
153,1.0,0.9027777777777778,0.9027777777777778,1.0,0.9583333333333334,0.0,1.0,0.8333333333333334,0.5138888888888888,1.0,1.0,0.7916666666666666,0.8055555555555556,0.6111111111111112
159,0.9722222222222222,0.7916666666666666,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,0.6944444444444444,1.0,0.9861111111111112,0.8333333333333334,0.8194444444444444,0.7638888888888888
173,1.0,0.7361111111111112,0.9305555555555556,1.0,0.9305555555555556,0.0,1.0,0.5,0.75,1.0,0.9861111111111112,0.6527777777777778,0.7916666666666666,0.7777777777777778
174,0.9583333333333334,0.9444444444444444,0.8611111111111112,1.0,0.9305555555555556,0.0,1.0,0.9166666666666666,0.375,1.0,1.0,0.875,0.7083333333333334,0.5138888888888888
179,1.0,0.9583333333333334,0.9444444444444444,1.0,0.9722222222222222,0.0,1.0,0.8611111111111112,0.7083333333333334,1.0,1.0,0.7777777777777778,0.6111111111111112,0.8055555555555556
184,1.0,0.7083333333333334,0.9305555555555556,1.0,0.9583333333333334,0.0,1.0,0.5972222222222222,0.8472222222222222,1.0,1.0,0.6666666666666666,0.7777777777777778,0.8333333333333334
192,1.0,1.0,1.0,1.0,0.9583333333333334,0.0,1.0,0.8472222222222222,0.7777777777777778,0.9861111111111112,1.0,1.0,0.75,0.8055555555555556
197,0.9861111111111112,0.9861111111111112,0.8333333333333334,1.0,0.9583333333333334,0.0,1.0,0.9305555555555556,0.5138888888888888,1.0,1.0,0.9861111111111112,0.7638888888888888,0.5694444444444444
198,0.9861111111111112,1.0,0.5555555555555556,1.0,0.5833333333333334,0.0,1.0,0.9583333333333334,0.625,0.9583333333333334,1.0,0.9722222222222222,0.8194444444444444,0.6666666666666666
199,1.0,0.8611111111111112,1.0,1.0,0.9722222222222222,0.0,1.0,0.8333333333333334,0.6944444444444444,0.5,0.9861111111111112,0.8055555555555556,1.0,0.6666666666666666
200,0.9861111111111112,0.9444444444444444,0.9166666666666666,1.0,0.9305555555555556,0.0,1.0,0.8888888888888888,0.6666666666666666,1.0,1.0,0.9583333333333334,0.7222222222222222,0.7222222222222222
204,1.0,0.9583333333333334,0.7638888888888888,1.0,0.7083333333333334,0.0,1.0,0.7777777777777778,0.5694444444444444,0.9861111111111112,0.9722222222222222,0.9444444444444444,0.7777777777777778,0.6388888888888888
205,1.0,1.0,0.9583333333333334,1.0,0.8888888888888888,0.0,1.0,1.0,0.5972222222222222,1.0,1.0,1.0,0.7361111111111112,0.625
207,0.9444444444444444,0.9444444444444444,0.9861111111111112,1.0,0.9444444444444444,0.0,1.0,0.9305555555555556,0.4722222222222222,0.9861111111111112,1.0,0.8611111111111112,0.8611111111111112,0.6527777777777778
208,0.9722222222222222,0.9027777777777778,0.9166666666666666,1.0,0.9444444444444444,0.0,1.0,0.9027777777777778,0.6111111111111112,1.0,1.0,0.9027777777777778,0.8472222222222222,0.5972222222222222
215,1.0,0.8888888888888888,0.5138888888888888,1.0,0.4722222222222222,0.0,1.0,0.5972222222222222,0.8888888888888888,0.9861111111111112,1.0,0.8194444444444444,0.875,0.8472222222222222
216,1.0,0.8055555555555556,0.8333333333333334,1.0,0.8194444444444444,0.0,1.0,0.7638888888888888,0.5555555555555556,1.0,1.0,0.8194444444444444,0.7777777777777778,0.7361111111111112
217,0.9027777777777778,0.9583333333333334,0.6944444444444444,1.0,0.7222222222222222,0.0,0.9305555555555556,0.7083333333333334,0.5138888888888888,1.0,1.0,0.9583333333333334,0.8194444444444444,0.5138888888888888
218,1.0,0.9861111111111112,0.9305555555555556,1.0,0.9305555555555556,0.0,1.0,0.8472222222222222,0.5555555555555556,1.0,1.0,0.9305555555555556,0.5555555555555556,0.6527777777777778
219,1.0,0.8611111111111112,0.7083333333333334,1.0,0.6666666666666666,0.0,1.0,0.5972222222222222,0.6805555555555556,1.0,1.0,0.75,0.5694444444444444,0.6805555555555556
220,1.0,1.0,0.8888888888888888,1.0,0.9305555555555556,0.0,1.0,1.0,0.5555555555555556,1.0,1.0,0.7361111111111112,0.9027777777777778,0.625
221,0.9166666666666666,0.8611111111111112,0.7361111111111112,1.0,0.7777777777777778,0.0,1.0,0.8611111111111112,0.5416666666666666,1.0,1.0,0.8472222222222222,0.8888888888888888,0.625
223,0.9166666666666666,0.7083333333333334,0.9444444444444444,1.0,0.9583333333333334,0.0,1.0,0.7916666666666666,0.5,0.9861111111111112,1.0,0.75,0.625,0.5416666666666666
233,1.0,0.8472222222222222,0.0,0.0,0.0,0.0,1.0,0.8194444444444444,0.8194444444444444,1.0,1.0,0.8333333333333334,0.75,0.8194444444444444
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1.0,0.7361111111111112,0.9166666666666666,1.0,0.9305555555555556,0.0,1.0,0.5833333333333334,0.6666666666666666,1.0,1.0,0.7916666666666666,0.8888888888888888,0.7361111111111112
239,1.0,0.875,0.9444444444444444,1.0,0.9583333333333334,0.0,1.0,0.8194444444444444,0.3611111111111111,1.0,1.0,0.8472222222222222,0.9444444444444444,0.4305555555555556
240,0.9722222222222222,0.9444444444444444,0.9166666666666666,1.0,0.9166666666666666,0.0,1.0,0.8472222222222222,0.7777777777777778,1.0,1.0,0.8888888888888888,0.7361111111111112,0.7916666666666666
241,0.9861111111111112,0.6944444444444444,0.8194444444444444,1.0,0.9583333333333334,0.0,1.0,0.6805555555555556,0.6805555555555556,1.0,1.0,0.7361111111111112,0.9722222222222222,0.7222222222222222
245,1.0,0.8194444444444444,0.9583333333333334,1.0,0.9444444444444444,0.0,1.0,0.6805555555555556,0.6388888888888888,1.0,1.0,0.8055555555555556,0.6527777777777778,0.7222222222222222
251,1.0,0.9722222222222222,0.9444444444444444,1.0,0.8472222222222222,0.0,1.0,0.9722222222222222,0.6805555555555556,1.0,1.0,0.9722222222222222,0.8055555555555556,0.6388888888888888
256,0.9166666666666666,0.9861111111111112,0.8055555555555556,1.0,0.0,0.7916666666666666,1.0,1.0,0.5694444444444444,1.0,1.0,0.9305555555555556,0.8333333333333334,0.7361111111111112
257,0.9166666666666666,1.0,0.7222222222222222,1.0,0.9305555555555556,0.0,1.0,1.0,0.3472222222222222,0.0,0.9861111111111112,1.0,0.5555555555555556,0.4444444444444444
