circuit,time,fpi,wind,gust
BOOTLEGGER,2021-10-23 12:00:00,0.0,1.328860583986623,29.839040616725942
STEARNS,2021-10-23 12:00:00,0.24283672478819485,0.1947179721276505,29.881782227668648
Kuehner,2021-10-23 12:00:00,0.29271960461023433,0.06508766906692995,32.34871459383386
BONNEVILLE,2021-10-23 12:00:00,0.0,0.686248072613963,33.897227708143575
GILMAN,2021-10-23 12:00:00,0.0,0.2555650307333074,28.64204116473015
PARINA,2021-10-23 12:00:00,0.0,0.0,36.50561160703431
FANO,2021-10-23 12:00:00,0.0,0.0,31.078574327182174
DE MILLE,2021-10-23 12:00:00,0.16353528104567994,1.775234597710964,28.356133610259494
SADDLEBACK,2021-10-23 12:00:00,0.11222930385825397,0.0,26.748478125254522
THACHER,2021-10-23 12:00:00,0.6670117989482713,0.9557695379448448,31.691316366055823
SANTORINI,2021-10-23 12:00:00,0.0,0.8776188240635955,28.987731126747875
TAGGERT,2021-10-23 12:00:00,0.0,0.19960538420728524,27.136660443936247
DYSART,2021-10-23 12:00:00,0.0,0.9774354499556964,38.77425739225375
BIANCO,2021-10-23 12:00:00,0.0,0.0,28.65003300394461
TOWNSHIP,2021-10-23 12:00:00,0.27936642887724056,0.0,29.57830525277885
ROS,2021-10-23 12:00:00,0.045463378081664715,0.0,31.74586586050301
BALCOM,2021-10-23 12:00:00,0.4664055854158103,0.0,29.36068682870461
CASSIDY,2021-10-23 12:00:00,0.06366735678833046,0.0,31.024800547432136
DONLON,2021-10-23 12:00:00,0.024094282067770024,1.4506446135718587,29.202821523698354
ICE HOUSE,2021-10-23 12:00:00,0.0,0.4545439848339515,31.163459527598
FORTUNE,2021-10-23 12:00:00,0.017992291916615284,0.0,28.614838400556373
EASTER,2021-10-23 12:00:00,0.0,0.26399932605052273,29.32942226019036
PATRICIA,2021-10-23 12:00:00,0.923313587009476,0.0,33.334331489390024
REJADA,2021-10-23 12:00:00,0.0,0.6044689624533065,37.821736409427466
ATENTO,2021-10-23 12:00:00,0.2108804822291397,0.1859152675686216,30.193670632130765
STROSNIDER,2021-10-23 12:00:00,0.3978738142993745,0.0,34.32484410394716
CAMPANULA,2021-10-23 12:00:00,0.0,0.0,31.49280591999463
ZENDA,2021-10-23 12:00:00,0.9028234677598947,0.8795500577692561,27.634453057340075
RANKIN,2021-10-23 12:00:00,0.07431252061915193,0.0,35.46624146799546
GNATCATCHER,2021-10-23 12:00:00,0.2268672843381421,0.0,24.416856209195984
FLYING D,2021-10-23 12:00:00,0.0,0.0,24.463076162139764
BENCH,2021-10-23 12:00:00,0.0,1.4370965885412872,31.808589856890546
PINE COVE,2021-10-23 12:00:00,0.0,0.2427848502268873,35.65165216012663
WINERY,2021-10-23 12:00:00,0.6284298068737157,0.12231806132389896,27.584066217801013
GINGER,2021-10-23 12:00:00,0.4462396041292177,0.0,27.761236489987997
ANACONDA,2021-10-23 12:00:00,0.7222660330802081,0.0,28.542837275383317
GLASSCOCK,2021-10-23 12:00:00,0.4049139088916706,1.6831855562693143,30.94207723402092
DARTMOUTH,2021-10-23 12:00:00,0.0,0.5677496847520911,28.82761828583334
CLARINET,2021-10-23 12:00:00,0.24534141481549704,0.20061644506012194,28.35699809812936
STRATHERN,2021-10-23 12:00:00,0.0,0.0,30.104848431115883
BUCKHORN,2021-10-23 12:00:00,0.0,0.0,32.670389668637085
HORSE MOUNTAIN,2021-10-23 12:00:00,0.0,0.3896690989557871,42.14222138660767
SAVORY,2021-10-23 12:00:00,0.0,0.29146352561516564,27.64488167126759
ENCHANTED,2021-10-23 12:00:00,0.7920062681884309,0.0,33.99160474173364
SAUNDERS,2021-10-23 12:00:00,0.0,0.0,31.928964116672944
RAINBOW,2021-10-23 12:00:00,0.18388145176809725,0.0,29.540022836618327
FOOTHILL,2021-10-23 12:00:00,0.0,0.9982960376216627,26.58586958726972
ALOLA #2,2021-10-23 12:00:00,0.11326597636015727,0.5698512672722436,29.854404098163915
GREEN RIVER,2021-10-23 12:00:00,0.2743848310901449,0.8175322200951944,34.84346625274214
STAGHORN,2021-10-23 12:00:00,0.0,0.0,30.11683015256343
CONINE,2021-10-23 12:00:00,0.0,0.0,30.19004943465923
NAPOLEON,2021-10-23 12:00:00,0.0,0.3956862436799437,29.036570007593077
MACIEL,2021-10-23 12:00:00,0.024137862593881537,0.387991555009046,34.51105912030426
